PAO1_metabolic_model_genes
PA0206
PA0205
PA0204
PA0203
PA3254
PA3252
PA3253
PA3250
PA0326
PA0325
PA0324
PA0323
PA0603
PA0605
PA0606
PA0604
PA0602
PA3607
PA3608
PA3609
PA3610
PA0228
PA3589
PA3013
PA2940
PA0281
PA0280
PA0282
PA1862
PA1861
PA1863
PA0300
PA0301
PA0302
PA0303
PA0304
PA0886
PA0884
PA0885
PA5169
PA5167
PA5168
PA0119
PA1183
PA0888
PA0890
PA0892
PA0889
PA2923
PA2924
PA2925
PA2926
PA5152
PA5153
PA5154
PA5155
PA1001
PA1002
PA0609
PA0649
PA1074
PA1073
PA1072
PA1071
PA1070
PA4909
PA4910
PA4912
PA4913
PA4911
PA1339
PA1340
PA1341
PA1342
PA4192
PA4193
PA4194
PA4195
PA5074
PA5075
PA5076
PA1507
PA0352
PA4647
PA4719
PA1519
PA1617
PA3924
PA1215
PA3860
PA2557
PA4198
PA3299
PA3300
PA1899
PA1900
PA1901
PA1904
PA1905
PA4210
PA4211
PA4212
PA4215
PA4216
PA2296
PA2295
PA2294
PA2309
PA2308
PA2307
PA3447
PA3448
PA3449
PA2352
PA0347
PA2026
PA1288
PA4589
PA3314
PA3313
PA3315
PA3316
PA3376
PA3375
PA3384
PA3383
PA3382
PA3333
PA1373
PA2965
PA3356
PA0296
PA2040
PA5522
PA5508
PA0298
PA5119
PA3645
PA3651
PA2536
PA3690
PA3920
PA4088
PA5523
PA3977
PA4733
PA0887
PA3568
PA2555
PA4925
PA5121
PA1408
PA3739
PA5021
PA4980
PA1629
PA4330
PA0744
PA1505
PA5094
PA5095
PA5096
PA5097
PA5217
PA3538
PA5216
PA4687
PA4688
PA5394
PA5310
PA2155
PA3673
PA0006
PA1616
PA0011
PA3242
PA0035
PA0036
PA0051
PA3459
PA2084
PA0103
PA0129
PA0789
PA3000
PA0866
PA0154
PA0153
PA0208
PA0210
PA0211
PA0212
PA0215
PA0216
PA2001
PA0232
PA4486
PA0242
PA0865
PA0254
PA5237
PA0283
PA0288
PA1421
PA0313
PA0314
PA2204
PA2203
PA2202
PA0438
PA0443
PA2073
PA0476
PA1419
PA5099
PA0166
PA2938
PA0450
PA5207
PA4292
PA0510
PA1778
PA5258
PA0516
PA0511
PA0514
PA0519
PA0524
PA0523
PA0534
PA1489
PA1567
PA3456
PA5309
PA4548
PA1028
PA1918
PA3863
PA2195
PA1267
PA1565
PA3424
PA5145
PA2776
PA0581
PA2969
PA0583
PA4728
PA1580
PA0836
PA3751
PA0854
PA4470
PA4333
PA5434
PA0870
PA3139
PA5013
PA0944
PA0996
PA0997
PA0998
PA0999
PA1010
PA1124
PA3043
PA1156
PA1155
PA1174
PA3875
PA3874
PA3872
PA3873
PA1217
PA3792
PA1276
PA1275
PA1297
PA1317
PA1318
PA1319
PA1320
PA1321
PA3175
PA1521
PA0134
PA1588
PA1589
PA1633
PA1634
PA1635
PA1655
PA2007
PA2473
PA3035
PA1750
PA2943
PA1787
PA1562
PA0794
PA1807
PA1808
PA1809
PA1810
PA1902
PA4213
PA1946
PA1947
PA1948
PA1999
PA2000
PA2014
PA2012
PA2041
PA2042
PA2104
PA2709
PA0932
PA2188
PA4097
PA2119
PA2158
PA2191
PA5272
PA3217
PA2253
PA1337
PA2328
PA2327
PA2329
PA0186
PA0185
PA0184
PA2338
PA2339
PA2340
PA2341
PA2351
PA2350
PA2349
PA2399
PA2400
PA2402
PA2424
PA2407
PA2409
PA2408
PA2442
PA5215
PA2443
PA5379
PA2444
PA5415
PA2445
PA5213
PA2472
PA0235
PA2520
PA2521
PA2522
PA2541
PA2584
PA2912
PA2913
PA2914
PA3024
PA2343
PA3121
PA3120
PA3131
PA3181
PA3141
PA1384
PA4068
PA3152
PA3151
PA5142
PA5140
PA3153
PA3154
PA3160
PA3157
PA3156
PA3172
PA3941
PA0608
PA5091
PA3187
PA3189
PA3188
PA3190
PA3438
PA1674
PA3445
PA3442
PA3443
PA3461
PA2252
PA2533
PA3524
PA0710
PA5111
PA3537
PA5172
PA3542
PA3541
PA3545
PA3543
PA3546
PA3550
PA3548
PA3549
PA3560
PA3561
PA3562
PA3582
PA3579
PA1487
PA3639
PA4847
PA4848
PA3112
PA3761
PA3760
PA3877
PA3876
PA3887
PA3660
PA2135
PA3933
PA5291
PA5375
PA3938
PA3937
PA3936
PA4024
PA4025
PA4054
PA4047
PA4055
PA4053
PA4126
PA2214
PA4138
PA0668
PA4159
PA4158
PA4160
PA4161
PA4156
PA4204
PA1293
PA4214
PA1903
PA4236
PA4613
PA2147
PA4314
PA5420
PA4329
PA1498
PA4366
PA4468
PA4400
PA3976
PA4431
PA4430
PA4429
PA4443
PA4442
PA4447
PA3165
PA2531
PA4502
PA4503
PA4504
PA4505
PA4506
PA4512
PA0936
PA4519
PA1818
PA4646
PA0403
PA4695
PA4696
PA4722
PA3798
PA4132
PA2032
PA2828
PA2897
PA3659
PA4742
PA2975
PA3246
PA3114
PA4544
PA4758
PA4756
PA4771
PA2382
PA4839
PA4846
PA0245
PA4868
PA4865
PA4867
PA4919
PA4376
PA4939
PA3802
PA5009
PA5008
PA5056
PA5058
PA5098
PA5093
PA5174
PA5218
PA5236
PA5065
PA5287
PA3039
PA5302
PA4930
PA5367
PA5366
PA5368
PA5369
PA0331
PA2683
PA1326
PA4602
PA5418
PA5416
PA5417
PA5419
PA5425
PA5426
PA5427
PA1982
PA1983
PA5435
PA5436
PA5450
PA5451
PA5452
PA2232
PA3551
PA5479
PA5495
PA1757
PA5498
PA5501
PA5500
PA5505
PA5504
PA5503
PA5556
PA5560
PA5553
PA5554
PA5559
PA5558
PA5555
PA5557
PA5561
PA0024
PA0132
PA0143
PA0148
PA0229
PA0230
PA0231
PA0241
PA0266
PA0273
PA0292
PA0293
PA0299
PA0322
PA0330
PA0342
PA0353
PA0363
PA0390
PA0399
PA0400
PA0402
PA0407
PA0420
PA0432
PA0437
PA0441
PA0482
PA0500
PA0501
PA0504
PA0546
PA0548
PA0552
PA0555
PA0582
PA0590
PA0607
PA0650
PA0651
PA0654
PA0655
PA4279
PA0755
PA0783
PA0796
PA0835
PA0871
PA0872
PA0878
PA0882
PA0883
PA0895
PA0901
PA0902
PA5413
PA0904
PA0913
PA0397
PA3983
PA0934
PA0945
PA0950
PA1013
PA1019
PA1024
PA1049
PA1052
PA1122
PA1130
PA1162
PA1165
PA1272
PA1273
PA1277
PA1279
PA1310
PA1311
PA1393
PA1400
PA1432
PA1485
PA1497
PA1502
PA1514
PA1515
PA1543
PA1590
PA1638
PA1642
PA1681
PA1683
PA1684
PA1685
PA1687
PA1726
PA1736
PA1748
PA1756
PA1758
PA1770
PA1772
PA1783
PA1792
PA1819
PA1843
PA1920
PA1927
PA1950
PA1959
PA1971
PA1997
PA2002
PA2004
PA2008
PA2009
PA2011
PA2013
PA2023
PA2052
PA2053
PA2080
PA2081
PA2144
PA2152
PA2165
PA2210
PA2247
PA2261
PA2262
PA2321
PA2322
PA2344
PA2366
PA2385
PA2396
PA2413
PA2416
PA2505
PA2507
PA2508
PA2509
PA2579
PA2629
PA2634
PA2666
PA2744
PA2777
PA2796
PA2876
PA2903
PA2904
PA2905
PA2907
PA2948
PA2962
PA2964
PA2968
PA2979
PA2981
PA3597
PA3004
PA3050
PA3082
PA3107
PA3108
PA3111
PA3113
PA3134
PA3145
PA3147
PA3148
PA3149
PA3155
PA3159
PA3163
PA3166
PA3475
PA3167
PA3169
PA3171
PA3176
PA3182
PA3193
PA3194
PA3210
PA3234
PA3296
PA3337
PA3357
PA3366
PA3392
PA3476
PA3478
PA3479
PA3480
PA3482
PA3487
PA3525
PA3527
PA3544
PA3581
PA3603
PA3625
PA3627
PA3633
PA3635
PA3636
PA3637
PA3643
PA3644
PA3646
PA3652
PA3654
PA3666
PA3686
PA3687
PA3735
PA3758
PA3763
PA3766
PA1916
PA3769
PA3807
PA3816
PA3857
PA3858
PA3901
PA3970
PA3975
PA3987
PA4003
PA4019
PA4023
PA4031
PA4043
PA4044
PA4045
PA4050
PA4051
PA4110
PA4124
PA4187
PA4209
PA4230
PA4231
PA4280
PA4289
PA4334
PA0809
PA4358
PA4402
PA4406
PA4410
PA4201
PA4411
PA4412
PA4414
PA4415
PA4416
PA4417
PA4425
PA4439
PA4449
PA4450
PA4457
PA4458
PA4501
PA4524
PA4529
PA4565
PA4569
PA4587
PA4628
PA4645
PA4655
PA4662
PA4664
PA4669
PA4670
PA4693
PA4729
PA4730
PA4731
PA4732
PA4748
PA4749
PA4750
PA4770
PA4825
PA1429
PA4854
PA4855
PA4859
PA4860
PA4861
PA4862
PA4901
PA4938
PA4947
PA4956
PA4957
PA4973
PA4976
PA4988
PA4996
PA5010
PA5011
PA5012
PA5018
PA5020
PA5025
PA5034
PA5038
PA5039
PA5051
PA5063
PA5066
PA5067
PA5092
PA5100
PA5106
PA5110
PA5131
PA5141
PA5143
PA5161
PA5163
PA5164
PA5170
PA5171
PA5173
PA5175
PA5192
PA5203
PA5204
PA5206
PA5221
PA5223
PA5235
PA5243
PA5259
PA5260
PA5263
PA5268
PA5277
PA5278
PA5297
PA5320
PA5321
PA5322
PA5323
PA5331
PA5336
PA5338
PA5357
PA5358
PA5370
PA5429
PA5447
PA5448
PA5449
PA5453
PA5468
PA5476
PA5516
PA5530
PA5549
PA5552
SPONTANEOUS
PA2397
PA2193
PA2194
PA0897
PA0896
PA0899
PA0745
Unassigned
