baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	Expected.1	Expected.2	Expected	Essentiality	Uncertainty
427.292646364587	-1.04388911373751	0.882082749445969	-1.18343671769249	0.236636112606631	0.655635080152403	PA0065	4	5	4.05	Unchanged	0.0145521044970619
408.301674779318	-0.267296153841764	1.05588594113166	-0.253148700469756	0.800153306629225	0.959640439276203	PA0066	9	7	3.4	Unchanged	0.00597233511879458
1593.2111882431	0.514195615801927	0.505007328286479	1.01819436471669	0.30858559699085	0.727259073060535	PA0067	37	35	12.66	Unchanged	0
206.368931035864	-2.54248941083227	1.38065951420071	-1.84150356020555	0.0655477993440376	0.338623093271749	PA0068	1	3	1.78	Unchanged	0.361495072448128
759.536276136687	-0.674049641473618	0.731381391330276	-0.921611691880238	0.356731157672241	0.769499065261159	PA0069	13	12	6.52	Unchanged	0.00876710896615973
578.224703402606	-0.407224688735591	0.804006106792743	-0.506494521988209	0.612509534327903	0.898721101898449	PA0070	14	12	5.37	Unchanged	0.00667605029273766
1278.44482132546	-0.623815966482039	0.566037116602006	-1.10207607979294	0.27042859761336	0.691742518220089	PA0071	21	18	10.38	Unchanged	0.00827886445540682
798.934215426988	-0.986690408701139	0.614563279463767	-1.60551474790695	0.108380570235623	0.45768512625248	PA0072	15	14	7.53	Unchanged	0.0133255197659234
495.321166063831	-4.28439417779986	0.871475512386009	-4.91625308675586	8.8216338077598e-07	1.46649787090789e-05	PA0073	2	1	4.64	Reduced	0.0010758520547326
2106.73585540514	-0.491845692835387	0.413520675867056	-1.1894101590062	0.234278305107091	0.652347940570695	PA0074	45	35	19.13	Unchanged	0.00721687912876212
600.723074782139	-0.0611226523709032	0.863959639210022	-0.0707471154865428	0.943599022018332	0.992052662567508	PA0075	13	9	4.65	Unchanged	0.00527338486118523
509.544360692429	-0.258838390197626	0.9297975120796	-0.278381461377224	0.780719548965983	0.954015472784322	PA0076	11	6	4.39	Unchanged	0.00593639529892742
2341.57190138325	-0.79461699502509	0.374266679247918	-2.12313048177801	0.0337429193661173	0.213763880542933	PA0077	47	34	20.52	Unchanged	0.0101740664388484
939.849698189227	-0.613501879104686	0.700457240656365	-0.875859143849812	0.381106612671163	0.784069652885204	PA0078	14	14	8.33	Unchanged	0.00818484541301834
968.680383614709	-0.922985788299641	0.600667027098953	-1.53660138922124	0.124390952171794	0.49164883793096	PA0079	16	12	8.68	Unchanged	0.0121308600935855
338.592154220531	0.025962497211161	1.14807879741801	0.0226138634992212	0.981958285182841	0.997802308098386	PA0080	6	5	2.56	Unchanged	0
958.420490398404	-1.19793718131109	0.616901257603039	-1.94186211577142	0.0521537947219586	0.288139367863678	PA0081	22	10	8.88	Unchanged	0.0187686495762144
708.274638099634	-0.377888305780337	0.639725335909379	-0.590703985864751	0.554718776841008	0.8753836407559	PA0082	14	14	6.69	Unchanged	0.00651022198263618
412.821559776182	0.0818778462316855	1.01203811555987	0.0809039155470838	0.935518366019699	0.990196511500387	PA0083	5	7	3.61	Unchanged	0
1078.00208647785	-0.289657898474351	0.447841400563176	-0.646786782352181	0.517769948015473	0.862121538511548	PA0084	13	12	9.63	Unchanged	0.00607073316326545
385.414698296757	0.826686567599056	1.12792285128646	0.732928290845581	0.463602167025431	0.837351893652106	PA0085	9	8	2.95	Unchanged	0
586.505298429087	0.153652027858497	0.751525695383943	0.20445345888007	0.837999158183982	0.967772472303364	PA0086	8	8	5.4	Unchanged	0
378.520887566195	-0.771057360302384	1.00943449482391	-0.763850813753782	0.444956151577443	0.825272536818588	PA0087	7	8	3.16	Unchanged	0.00987007201579593
1275.51284602844	-0.227370179913421	0.47369357479321	-0.479994224140951	0.631231500049682	0.906713495944462	PA0088	21	22	11.07	Unchanged	0.00580861992922244
733.898936241263	-0.810042423613124	0.712903549979256	-1.13625808657664	0.255848566687818	0.675141935528033	PA0089	10	9	6.33	Unchanged	0.0103815673619219
1913.38839731226	-0.661149883131372	0.406631502851987	-1.62591899175119	0.103966889417753	0.445721021683964	PA0090	29	26	16.94	Unchanged	0.00863675994959678
1245.15346147811	0.579644342746194	0.52685179009888	1.10020380235854	0.271243334271085	0.692597032808652	PA0091	29	25	11.32	Unchanged	0
172.863950619929	-2.90034545163406	1.58679534616418	-1.82780057847106	0.0675794863880367	0.343698775977148	PA0092	1	1	1.74	Reduced	0.337545069577618
968.092404914503	0.0445519202225055	0.578847268089781	0.0769666243213493	0.938650096114362	0.990471888861539	PA0093	23	21	8.13	Unchanged	0
304.778459692923	-1.42216146655078	1.24354963881192	-1.14363063778419	0.252776850087315	0.6724339242118	PA0094	2	2	2.68	Unchanged	0.0284023629455163
1411.30879278817	0.256249089921444	0.453790656187871	0.564685690256602	0.572287569069566	0.879044356499271	PA0095	45	35	13.19	Unchanged	0
297.812399151634	-0.200685707124671	1.21439558233151	-0.16525563008009	0.868742780645986	0.978367754381698	PA0096	7	5	2.59	Unchanged	0.00570734741711931
871.887479107633	-1.21099462353377	0.68363611799812	-1.77140234644112	0.076493818686511	0.373351512940561	PA0097	12	7	7.24	Unchanged	0.0191998557843879
733.235345043578	-0.698794604782081	0.74368210152654	-0.939641552953448	0.347401454408194	0.760188094145081	PA0098	15	11	6.41	Unchanged	0.00902730212563341
849.08267073057	0.476669279207729	0.668194643984276	0.713368901560584	0.475617511489082	0.842951763830681	PA0099	14	15	7.03	Unchanged	0
715.84667591789	0.046119260949888	0.784472511711292	0.0587901555011544	0.95311924967125	0.993248709097903	PA0100	13	15	5.66	Unchanged	0
941.363710106236	0.155480811286397	0.573051097038928	0.271321025454445	0.786144136789042	0.954121191390008	PA0101	26	23	7.87	Unchanged	0
467.888747009576	0.698238783939748	0.752018810781376	0.928485795739938	0.353155632518757	0.766142631618726	PA0102	9	8	4.6	Unchanged	0
1215.2662035476	0.131174367599708	0.541390256659849	0.242291703602128	0.808554141857235	0.962762030361972	PA0103	36	31	10.32	Unchanged	0
368.128248035199	0.857029711759133	1.09550875486954	0.782312060902878	0.434031200469893	0.816870481722486	PA0103a	11	11	3.49	Unchanged	0
937.929813952935	0.597236029300201	0.782741475976812	0.763005471959804	0.445460132495204	0.825680409747005	PA0105	28	21	7.3	Unchanged	0
1133.36222736789	-0.503949531696435	0.577626260963947	-0.872449134939676	0.382963405488385	0.784069652885204	PA0106	12	10	9.97	Unchanged	0.00730246853491645
401.869982933955	0.777065704210915	0.955583413909098	0.813184587447052	0.416112234685849	0.807093644297833	PA0107	9	9	3.76	Unchanged	0
701.093455944486	-0.0754460213950256	0.764891012315393	-0.0986363026630994	0.921427045197535	0.989184868295083	PA0108	10	10	5.69	Unchanged	0.00531105263657072
141.366190691069	-2.5974335143236	1.664230904426	-1.56074106508644	0.118584857901794	0.480290235385522	PA0109	1	0	1.34	Unchanged	0.40435711693384
510.219632760731	-0.932867761179958	0.880957414393887	-1.05892492183835	0.289633973290293	0.710246945291644	PA0110	9	9	4.53	Unchanged	0.0123053714244834
393.432197271824	-0.24481043844362	1.07932255164189	-0.226818607719452	0.820564793899822	0.963769544660247	PA0111	7	4	3.66	Unchanged	0.00587829241360349
854.749388088841	-1.77393821869582	0.746812395581369	-2.37534651164281	0.0175324824880901	0.127133326791893	PA0112	13	9	7.2	Unchanged	0.0598915020588953
654.705645001131	0.515756010605795	0.805889759034662	0.63998332876645	0.522183437821389	0.862471661798098	PA0113	14	11	5.46	Unchanged	0
410.429995355356	-0.331892072035195	0.848485366966318	-0.391158274445964	0.695680248283767	0.926296092270373	PA0114	7	7	3.8	Unchanged	0.00627051299815773
320.705685297091	-0.818351570554754	1.16377258652115	-0.703188561092542	0.481938246939344	0.84607354261889	PA0115	3	3	2.95	Unchanged	0.0104962187965068
328.604227616696	-0.894096332720805	0.949378551093305	-0.941770099704869	0.346310356580959	0.759581466606924	PA0116	4	4	2.85	Unchanged	0.0116418057635195
561.505069306958	-1.05841961346567	0.96901781805001	-1.09226021828532	0.274718740718696	0.695938394437822	PA0117	7	6	4.67	Unchanged	0.0148895899453201
447.685813576836	-0.546693296547051	1.0476693110201	-0.521818565072546	0.601796662293809	0.892518139098328	PA0118	6	5	3.89	Unchanged	0.0076227954514686
988.332642944535	-0.16573296816822	0.611458340197918	-0.27104539634634	0.786356117360894	0.954121191390008	PA0119	19	16	8.09	Unchanged	0.00558404813430924
464.277126168357	-1.22378655634683	0.909759293767516	-1.34517620730079	0.178568337786206	0.57716022816679	PA0120	9	7	4.3	Unchanged	0.0196352744644259
447.163209508276	-2.51351884196839	0.857320173488483	-2.93183214357448	0.00336968822529399	0.0311567292147756	PA0121	4	2	4.5	Unchanged	0.340012488744053
279.92593055551	-1.75566791490228	1.220102262011	-1.43895144658494	0.150164279749712	0.53342186731677	PA0122	2	2	2.27	Unchanged	0.0574683244174471
593.918829445434	-5.22174116829352	0.800164740720306	-6.52583262240839	6.7624804853004e-11	1.54980468405917e-09	PA0123	1	1	5.5	Reduced	4.90805729502775e-06
208.652045053489	-2.43773921758131	1.45001105090264	-1.68118664755265	0.0927266662320643	0.417795149066639	PA0124	1	1	1.6	Unchanged	0.287900118949994
177.730393677023	-6.72000531338163	1.77941436551738	-3.77652639183215	0.000159030715618914	0.00191697414563145	PA0125	0	0	1.49	Reduced	1.14872555911916e-10
438.94232005088	-1.46992417094003	1.03067220426026	-1.42618008408893	0.153816366884388	0.538744243508903	PA0126	7	6	3.79	Unchanged	0.0312242509992186
